PROVINCIA;LOCALITA;TIPOLOGIA;TIPOLOGIA SECONDARIA;STELLE;DENOMINAZIONE;INDIRIZZO;NUMERO CIVICO;INTERNO;CAP;TELEFONO;FAX;EMAIL;SITO WEB;ZONA;ACCESSO AI DISABILI;PISCINA;PISCINA COPERTA;RISTORANTE;PARCHEGGIO;SALA CONFERENZE;ARIA CONDIZIONATA;GIOCHI BIMBI;SAUNA;SOLARIUM;FITNESS;ANIMALI AMMESSI;CENTRO STORICO;ZONA FIERA;LAGO;AEROPORTO;AUTOSTRADA;IMPIANTI RISALITA;STAZIONE FS;MARE;TERMALE;PERIFERIA;COLLINARE;INGLESE;FRANCESE;TEDESCO;SPAGNOLO;CHIUSURA TEMPORANEA;ALTRI SERVIZI;DATA ULTIMA MODIFICA;NUOVA CLASSIFICAZIONE LR11;COMUNE;CATEGORIA;CODICE IDENTIFICATIVO
VERONA;CASTION DI MARCIAGA;AFFITTACAMERE;;;IL PORTICO;LOCALITA' SAN VEROLO;1/C;;37010;0457200930;0456201166;info@sanverolo.it;www.sanverolo.it;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;PISCINA;19/10/2017;4 Leoni;COSTERMANO SUL GARDA;1;349
VERONA;CASTION DI MARCIAGA;AFFITTACAMERE;;;IL MULINO;LOCALITA' SAN VEROLO;1/D;;37010;0457200930;0456201166;info@sanverolo.it;www.sanverolo.it;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;PISCINA;19/10/2017;4 Leoni;COSTERMANO SUL GARDA;1;350
VERONA;CASTION DI MARCIAGA;AFFITTACAMERE;;;IL BOSCO;LOCALITA' SAN  VEROLO;1/D;;37010;0457200930;0456201166;info@sanverolo.it;www.sanverolo.it;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;PISCINA;19/10/2017;4 Leoni;COSTERMANO SUL GARDA;1;351
VERONA;;AFFITTACAMERE;;;LOCANDA SAN VIGILIO;Via San Vigilio;;;37016;0457256688;0457256551;info@punta-sanvigilio.it;www.punta-sanvigilio.it;garda;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;;03/04/2017;5 Leoni;GARDA;1;367
VERONA;;AFFITTACAMERE;;;CASA ARCHI;Via San Vigilio;;;37016;0457255884;0457256551;info@punta-sanvigilio.it;www.punta-sanvigilio.it;garda;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;;05/04/2017;5 Leoni;GARDA;1;368
VERONA;;AFFITTACAMERE;;;VILLA BRUNA;Via degli alpini;50;;37045;044227578 - 3491598998;044221224;alessandro.gramigna@tiscali.it;www.villabruna.info;verona;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Falso;Falso;CASSAFORTE - FRIGOBAR;30/01/2018;4 Leoni;LEGNAGO;1;398
VERONA;;AFFITTACAMERE;;;CASA GIGLIO;Via Caterina Bon Brenzoni;58/a;;37060;0457930253-0456340909;0456340708;ristgel@gmail.com;;verona;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;;03/05/2018;4 Leoni;MOZZECANE;1;434
VERONA;;AFFITTACAMERE;;;SAN CIRIACO RELAIS;Via San Ciriaco;6;;37024;0458393650;0458393612;info@sanciriaco.com;www.sanciriaco.com;verona;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Falso;Vero;Falso;;20/04/2018;3 Leoni;NEGRAR;1;438
VERONA;LOCARA;AFFITTACAMERE;;;VILLA BONGIOVANNI;Via Perarolo;36;;37047;0456183053;0456183057;info@villabongiovanni.com;www.villabongiovanni.com;verona;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Vero;Falso;Falso;Falso;;03/05/2018;5 Leoni;SAN BONIFACIO;1;452
VERONA;;AFFITTACAMERE;;;SAN MARTINO HOUSE;Via  XX Settembre;45;;37036;045/995049;;saic@pecimprese.it;;verona;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;;28/04/2017;3 Leoni;SAN MARTINO BUON ALBERGO;1;455
VERONA;;AFFITTACAMERE;;;VILLA SAN GIORGIO;Via Case Sparse Conca D'oro;1;;37010;0456838170;0456838203;info@villasangiorgio.com;www.villasangiorgio.com;verona;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;Falso;Internet - Solarium - nolo bici - prenotaz. Spett;11/09/2017;2 Leoni;SANT'AMBROGIO DI VALPOLICELLA;1;458
VERONA;;AFFITTACAMERE;;;RELAIS CORTE GUASTALLA;Via Guastalla Vecchia;9 - 11;;37060;3489793777;0456099175;info@corteguastalla.it;www.corteguastalla.it;verona;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Falso;Falso;piscina;14/04/2017;5 Leoni;SONA;1;461
VERONA;;AFFITTACAMERE;;;LOCANDA CORTE GIRLANDA;Via Bresciana;76A;;37139;0458510067 / 3336495975;0458510067;info@cortegirlanda.com;www.cortegirlanda.com;verona;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;;03/03/2017;4 Leoni;VERONA;1;490
VERONA;;AFFITTACAMERE;;;RESIDENZA SAN FAUSTINO;Corticella San Faustino;7;;37129;0459690400;0459690401;info@residenzasanfaustino.it;www.residenzasanfaustino.it;verona;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;VASCA IDROMASSAGGIO-COLLEGAMENTO INTERNET-FRIGOBAR - asciugacapelli;11/04/2017;2 Leoni;VERONA;1;498
VERONA;;APPARTAMENTO;;;I CORTIVI;Via Becelli;7;;37010;0457255666;0457256611;info@montebaldo.com;www.gardaresidences.com;garda;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;Falso;;14/02/2018;4 Leoni;COSTERMANO SUL GARDA;1;7155
VERONA;PACENGO;APPARTAMENTO;;;RESIDENZA ORCHIDEE;Via Sottomonte;18-20;;37017;0457590750;0456499539;info@residenzaorchidee.it;;garda;Falso;Vero;Falso;Falso;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;LAVATRICE AD USO COMUNE;10/03/2017;3 Leoni;LAZISE;1;7199
VERONA;;APPARTAMENTO;;;RESIDENZA SAN TOMASO;VICOLO SEGHE SAN TOMASO;10 - 10/A;;37100;0458393650;0458393612;info@veronapartments.it;;verona;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;;29/03/2018;3 Leoni;VERONA;1;7302
VERONA;CASELLE;APPARTAMENTO;;;RESIDENZA STELLA;Via Roma;105;;37066;0458581111;0452377046;;;verona;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;;16/01/2017;3 Leoni;SOMMACAMPAGNA;1;45036
VERONA;;RESIDENCE;;;RESIDENCE GOETHE;Via Caris;8;;37018;0457400050;0456570921;info@goethemalcesine.com;www.goethemalcesine.com;garda;Falso;Vero;Falso;Falso;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;lavanderia, presa modem, internet wireless;22/04/2016;4 Leoni;MALCESINE;1;45056
VERONA;;AFFITTACAMERE;;;RELAIS DE CHARME IL SOGNO DI GIULIETTA;VIA CAPPELLO;23 - PIANO SECONDO;;37121;0458009932;;gianellocarlo@virgilio.it;;verona;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;CONVENZIONE GARAGE;10/04/2017;5 Leoni;VERONA;1;46226
VERONA;;AFFITTACAMERE;;;RELAIS DE CHARME IL SOGNO DI GIULIETTA 1;VIA CAPPELLO;23 - PIANO TERZO;;37121;045 8009932;045 8038483;booking@sognodigiulietta.it;www.sognodigiulietta.it;verona;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;CONVENZIONE CON GARAGE;10/04/2017;3 Leoni;VERONA;1;46227
VERONA;;AFFITTACAMERE;;;RELAIS DE CHARME IL SOGNO DI GIULIETTA 2;VIA CAPPELLO;23 PIANO 4° E 5°;;37121;045 8009932;045 8038483;booking@sognodigiulietta.it;www.sognodigiulietta.it;verona;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;CONVENZIONE CON GARAGE;10/04/2017;3 Leoni;VERONA;1;46228
VERONA;;AFFITTACAMERE;;;VIALE ROMA DODICI;VIALE ROMA;12;;37017;0459585109;0459585110;info@vialeromadodici.it;www.vialeromadodici.it;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;;28/03/2017;4 Leoni;LAZISE;1;46595
VERONA;COLA';AFFITTACAMERE;;;7 VIZI;via Croce;9;;37017;0452375665;0457590043;info@7vizi.eu;www.7vizi.eu;garda;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;;16/05/2018;3 Leoni;LAZISE;1;47492
VERONA;;AFFITTACAMERE;;;ESCALUS LUXURY SUITES VERONA;VICOLO TRE MARCHETTI;12;;37121;0458036754;0458011202;INFO@ESCALUSVERONA.COM;WWW.ESCALUSVERONA.COM;verona;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;FRIGOBAR ASCIUGACAPELLI SKY;10/04/2017;4 Leoni;VERONA;1;48711
VERONA;;RESIDENCE;;;CORTE SAN LUCA;piazzetta san giovanni;15;;37011;345 8212906 - 045 6210612;0383 83807;contact@cortesanluca.com;www.cortesanluca.com;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;;12/01/2017;3 Leoni;BARDOLINO;1;49738
VERONA;;AFFITTACAMERE;;;GALLERY  ROOM;VIA SANT'ANTONIO;6;;37100;045595388;;edoardocaldari@hotelmastino.it;;verona;Vero;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;;21/04/2017;4 Leoni;VERONA;1;50205
VERONA;;AFFITTACAMERE;;;BOUTIQUE  ROOM;VIA SANT'ANTONIO;6;;37100;045595388;;edoardocaldari@hotelmastino.it;;verona;Vero;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;;10/04/2017;4 Leoni;VERONA;1;50206
VERONA;;APPARTAMENTO;;;RESIDENZA MONTRESOR;Via Mantegna;75/77;;37012;045 6761666;045 6762222;amministrazione@montresorgroup.com;;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;;28/02/2018;;BUSSOLENGO;1;50702
VERONA;;APPARTAMENTO;;;CAPRI RELAIS;VIA GARDESANA;204;;37018;045/7400385;045/7400825;info@hotelcapri.com;www.hotelcapri.com;garda;Falso;Vero;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;;03/04/2017;4 Leoni;MALCESINE;1;51364
VERONA;;AFFITTACAMERE;;;IL RELAIS;CORSO CASTELVECCHIO;23;;37121;39 3332126999 0458036494;0458021039;info@ilrelais.com;www.ilrelais.com;verona;Vero;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;CASSAFORTE IN STANZA,BALCONI,FRIGOBAR,TVSAT,WIFI,FILODIFFUSIONE;21/01/2015;;VERONA;1;52385
VERONA;;AFFITTACAMERE;;;RESIDENZA BORSARI 2;Corso Porta Borsari;33;;37100;337461497;0456704962;luigip.pluri@gmail.com;;verona;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;;10/04/2017;2 Leoni;VERONA;1;58581
VERONA;;APPARTAMENTO;;;CORTE ARANCI;VIA CANAL;141;;37013;3385960189 - 045/7242274;;cortearanci@gmail.com;;garda;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;;05/05/2017;3 Leoni;CAPRINO VERONESE;1;67481
VERONA;;AFFITTACAMERE;;;LA CORTE DI GIULIETTA EXCLUSIVE SUITES;VIA CAPPELLO;23;;37100;045800327 3284266610;01119707324;info@cortedigiulietta.it;www.cortedigiulietta.it;verona;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;WI FI FREE;02/03/2017;3 Leoni;VERONA;1;71760
VERONA;;AFFITTACAMERE;;;THE GENTLEMAN OF VERONA GRAND RELAIS;Via Carlo Cattaneo;26/a;;37100;392 9975119;045 5112047;info@thegentlemanofverona.com;www.thegentlemanofverona.com;verona;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Falso;Falso;asse e ferro da stiro su richiesta;28/05/2018;5 Leoni;VERONA;1;73480
VERONA;;AFFITTACAMERE;;;THE GENTLEMAN OF VERONA GRAND RELAIS ESSE;Via Carlo Cattaneo;26/a;;37100;392 9975119;045 5112047;info@thegentlemanof verona.com;www.thegentlemanofverona.com;verona;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;;03/05/2018;5 Leoni;VERONA;1;75521
VERONA;COLA';RESIDENCE;;;RESIDENCE CORTE SAN CARLO;Via Malcanton;30;;37017;045 6490241;;info@cortesancarlo.it;www.cortesancarlo.it;garda;Vero;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;;03/11/2017;5 Leoni;LAZISE;1;81880
VERONA;;AFFITTACAMERE;;;LUXURY SUITE & SPA;Via Carlo Cattaneo;26/a;;37100;045 8044015;045 5112047;booking@leoncinohotels.com;;verona;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;;03/05/2018;5 Leoni;VERONA;1;91680
VERONA;;AFFITTACAMERE;;;CASA MOSOLE;Via Bottura;3;;37018;348 5310790 - 045 2589430;045 7400165;info@casamosole.com;www.casamosole.com;garda;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;;20/03/2017;4 Leoni;MALCESINE;1;97280
